ty_code,ty_name_en,ty_name_ch,land_address,land_time,land_lng,land_lat,land_info,land_strong
201002,CONSON,康森,三亚,2010-07-16 19:50:00,109.5,18.09,台风“康森”16日19时50分在海南三亚登陆,台风
201003,Chanthu,灿都,吴川,2010-07-22 13:45:00,110.46,21.26,“灿都”于22日13时45分在广东吴川登陆,台风
201004,Dianmu,电母,韩国,2010-08-11 06:20:00,127.2,34.5,“电母”11日6时20分前后登陆韩国南部沿海,热带风暴
201005,Mindulle,蒲公英,越南义安,2010-08-24 19:00:00,105.7,19.1,“蒲公英”24日19时前后登陆越南义安省沿海,强热带风暴
201006,Lionrock,狮子山,漳浦,2010-09-02 06:50:00,117.36,24.08,“狮子山”2日6时50分前后在福建漳浦县沿海登陆,热带风暴
201007,Kompasu,圆规,朝韩交界,2010-09-02 05:30:00,126.2,37.2,“圆规”2日5时30分前后在朝鲜与韩国交界沿海登陆,台风
201008,Namthuen,南川,福建惠安,2010-08-31 23:50:00,119.0,24.9,“南川”31日23时50分在福建惠安登陆,热带风暴
201010,Meranti,莫兰蒂,石狮,2010-09-10 03:30:00,118.6,24.7,台风“莫兰蒂”10日03时30分在福建石狮登陆,台风
201011,Fanapi,凡亚比,花莲,2010-09-19 09:00:00,121.5,23.5,“凡亚比”于9月19日9时前后登陆台湾省花莲县丰滨乡。,强台风
201011,Fanapi,凡亚比,漳浦,2010-09-20 07:00:00,117.36,24.08,“凡亚比”9月20日7时在福建漳浦再次登陆。,台风
201013,Megi,鲇鱼,菲律宾,2010-10-18 12:25:00,122.5,17.4,“鲇鱼”18日12时25分登陆菲律宾吕宋岛东北部沿海,超强台风
201013,Megi,鲇鱼,漳浦,2010-10-23 12:55:00,117.8,23.7,“鲇鱼”23日12时55分登陆福建漳浦县沿海,台风
201101,AREA,艾利,菲律宾,2011-05-09 10:30:00,122.2,16.9,艾利5月9日10时30分前后登陆菲律宾吕宋岛东部沿海,热带风暴
201115,Roke,洛克,日本静冈县滨松沿海,2011-09-21 13:00:00,137.9,34.8,“洛克”9月21日13时在日本静冈县滨松附近沿海登陆,台风
201117,Nesat,纳莎,菲律宾吕宋岛,2011-09-27 07:00:00,122.2,16.5,“纳沙”27日7时前后登陆菲律宾吕宋岛东部,强台风
201117,Nesat,纳莎,文昌,2011-09-29 14:30:00,111.0,19.7,“纳沙”9月29日14时30分前后登陆海南文昌,强台风
201117,Nesat,纳莎,徐闻,2011-09-29 21:15:00,110.0,20.2,“纳沙”9月29日21时15分在广东徐闻角尾乡再次登陆,台风
201117,Nesat,纳莎,越南广宁,2011-09-30 11:30:00,107.2,20.9,“纳沙”于9月30日11时30分前后在越南北部广宁沿海登陆,强热带风暴
201118,Haitang,海棠,越南广治省,2011-09-27 08:30:00,107.3,16.7,“海棠”27日8时30分前后在越南广治省沿海登陆,热带风暴
201119,NALGAE,尼格,吕宋岛,2011-10-01 09:00:00,122.4,16.8,“尼格”1日9时登陆菲律宾吕宋岛东北部沿海,强台风
201119,NALGAE,尼格,万宁,2011-10-04 12:30:00,110.5,18.7,“尼格”10月4日12时30分登陆海南万宁,强热带风暴
201201,Pakhar,帕卡,越南,2012-04-01 16:00:00,107.2,10.5,“帕卡”4月1日16时前后在越南巴地头顿省沿海登陆,热带风暴
201204,Guchol,古超,和歌山县南部沿海登陆,2012-06-19 16:15:00,135.9,33.8,“古超”19日16时15分前后登陆日本和歌山县南部沿海,台风
201206,Doksuri,杜苏芮,珠海,2012-06-30 02:30:00,113.25,21.91,“杜苏芮”30日2时30分前后在广东珠海南水镇沿海登陆,强热带风暴
201207,Khanun,卡努,韩国忠清南道,2012-07-19 04:00:00,126.7,36.5,“卡努”19日04时前后在韩国忠清南道沿海再次登陆。,热带风暴
201208,Vicente,韦森特,台山市,2012-07-24 04:15:00,113.0,22.0,24日4时15分前后登陆广东省台山市赤溪镇沿海,台风
201209,Saola,苏拉,台湾花莲,2012-08-02 03:15:00,121.6,24.2,“苏拉”8月2日03时15分前后登陆台湾省花莲市秀林乡沿海,强台风
201209,Saola,苏拉,秦屿镇,2012-08-03 06:50:00,120.3,27.0,3日6时50分前后登陆福建省福鼎市秦屿镇沿海,强热带风暴
201210,Damrey,达维,响水,2012-08-02 21:30:00,120.0,34.4,台风“达维”2日21时30分登陆江苏陈家港镇,台风
201211,Haikui,海葵,象山,2012-08-08 03:20:00,122.1,29.0,“海葵”8月8日3时20分登陆浙江象山县鹤浦镇沿海,强台风
201213,Kai-tak,启德,帕拉南,2012-08-15 04:00:00,122.4,17.1,15日04时前后在菲律宾吕宋岛帕拉南附近沿海登陆,强热带风暴
201213,Kai-tak,启德,湛江湖光镇,2012-08-17 12:30:00,110.4,21.0,17日12时30分前后在广东省湛江市麻章区湖光镇登陆,台风
201213,Kai-tak,启德,中越边境,2012-08-17 21:00:00,107.7,21.6,17日21时前后在中越边境交界处登陆,台风
201214,Tembin,天秤,屏东,2012-08-24 05:15:00,120.9,22.2,8月24日5时15分登陆屏东牡丹乡，28日凌晨擦过鹅銮鼻北上,强台风
201214,Tembin,天秤,全罗南道,2012-08-30 09:30:00,126.6,34.7,天秤9时30分在韩国全罗南道南部沿海登陆。,热带风暴
201215,Bolaven,布拉万,黄海南道,2012-08-28 15:15:00,125.5,37.7,布拉万28日15时15分前后在朝鲜西南沿海登陆。,台风
201215,Bolaven,布拉万,朝鲜平安,2012-08-28 22:50:00,125.1,39.6,布拉万22时50分前后登陆朝鲜平安北道南部沿海,强热带风暴
201216,Sanba,三巴,韩国,2012-09-17 11:00:00,128.0,35.0,17日11时前后登陆韩国庆尚南道西南部沿海,台风
201217,Jelawat,杰拉华,和歌山县,2012-09-30 15:00:00,135.9,33.4,“杰拉华”30日15时前后登陆日本和歌山县沿海,台风
201220,Gaemi,格美,越南绥和市,2012-10-06 19:00:00,108.9,13.3,“格美”于6日19时前后在越南南部富安省绥和市附近沿海登陆,热带风暴
201223,Son-Tinh,山神,菲律宾萨马岛南部沿海,2012-10-24 18:00:00,125.1,11.1,山神10月24日18时左右登陆菲律宾萨马岛南部沿海。,热带风暴
201223,Son-Tinh,山神,越南南定,2012-10-28 23:30:00,107.0,21.0,“山神”的中心已于28日23时30分前后在越南南定省沿海登陆,台风
201224,Bopha,宝霞,棉兰老岛,2012-12-04 05:30:00,126.0,7.7,4日5时30分前后登陆菲律宾棉兰老岛沿海,超强台风
201225,Wukong,悟空,莱特岛,2012-12-26 00:00:00,124.1,10.7,“悟空”26日凌晨00时前后在菲律宾群岛中部莱特岛登陆,热带风暴
201305,Bebinca,贝碧嘉,琼海,2012-06-22 11:10:00,110.7,19.2,“贝碧嘉”22日11时10分登陆海南省琼海市潭门镇沿海,热带风暴
201305,Bebinca,贝碧嘉,越南北部太平省沿海,2013-06-23 22:30:00,106.6,20.4,“贝碧嘉”于23日22时30分前后在越南北部的太平省沿海,热带风暴
201306,Rumbia,温比亚,广东湛江麻章区湖光镇,2013-07-02 05:30:00,110.0,20.5,“温比亚”于2日5时30分在湛江麻章区湖光镇登陆。,强热带风暴
201307,Soulik,苏力,新北宜兰交界,2013-07-13 03:00:00,121.9,25.0,“苏力”13日3时登陆台湾新北市与宜兰县交界。,强台风
201307,Soulik,苏力,连江,2013-07-13 16:00:00,119.7,26.3,“苏力”13日16时登陆福建连江县黄岐半岛沿海,台风
201308,Cimaron,西马仑,福建漳浦,2013-07-18 20:30:00,117.9,23.9,“西马仑”于7月18日20时30分在福建省漳浦县沿海登陆,热带风暴
201309,Jebi,飞燕,海南文昌龙楼镇,2013-08-02 19:30:00,111.0,19.7,“飞燕”2日19时30分在海南文昌龙楼镇沿海登陆,强热带风暴
201309,Jebi,飞燕,中越边境,2013-08-03 10:00:00,107.6,21.3,“飞燕”3日10时前后在中越边界越南一侧沿海登陆。,强热带风暴
201310,Mangkhut,山竹,越南,2013-08-07 22:00:00,105.9,19.8,“山竹”7日22时前后在越南北部清化市沿海登陆。,热带风暴
201311,Utor,尤特,菲律宾吕宋岛东部沿海,2013-08-12 03:00:00,121.4,16.2,“尤特”12日凌晨3时前后登陆菲律宾吕宋岛东部沿海,强台风
201311,Utor,尤特,阳西,2013-08-14 15:50:00,111.8,21.7,8月14日15时50分在广东省阳西附近沿海登陆。,强台风
201312,Trami,潭美,福清,2013-08-22 02:40:00,119.55,25.7,“潭美”22日02时40分在福建省福清市沿海登陆,台风
201317,Toraji,桃芝,鹿儿岛,2013-09-04 02:00:00,130.9,31.8,“桃芝”于4日2时登陆日本国鹿儿岛沿海,强热带风暴
201318,Man-yi,万宜,日本爱知县丰桥市,2013-09-16 07:00:00,137.3,34.7,“万宜”16日7时前后登陆日本爱知县丰桥市,强热带风暴
201319,Usagi,天兔,汕尾,2013-09-22 19:40:00,115.6,22.7,22日19时40分在广东省汕尾市沿海登陆。,强台风
201321,Wutip,蝴蝶,越南广平,2013-09-30 17:45:00,106.5,17.6,“蝴蝶”于30日17时45分前后在越南中部广平省北部沿海登陆,台风
201323,Fitow,菲特,沙埕,2013-10-07 01:15:00,120.6,27.1,“菲特”于7日01时15分登陆福建沙埕镇沿海,强台风
201325,Nari,百合,菲律宾,2013-10-11 23:30:00,119.7,15.7,“百合”11日23点30分登陆菲律宾丁阿兰市附近沿海,强台风
201325,Nari,百合,越南岘港,2013-10-15 06:40:00,108.2,16.0,6时40分左右在越南岘港沿海登陆,强热带风暴
201326,Wipha,韦帕,日本本州岛东南部沿海,2013-10-16 06:30:00,142.0,42.0,“韦帕”10月16日6点30分前后在日本本州岛东南部沿海登陆,台风
201329,Krosa,罗莎,菲律宾吕宋岛,2013-10-31 17:30:00,122.4,18.2,“罗莎”31日17时30分登陆菲律宾吕宋岛东北部沿海,强台风
201330,Haiyan,海燕,菲律宾莱特岛,2013-11-08 07:00:00,125.9,10.8,11月8日7时前后在菲律宾中部莱特岛沿海登陆,超强台风
201330,Haiyan,海燕,越南广宁省,2013-11-11 05:00:00,107.3,21.1,台风“海燕”11日5时前后在越南东北部广宁省沿海登陆,台风
201331,Podul,杨柳,越南芽庄,2012-11-15 05:30:00,109.3,12.3,“杨柳”11月15日5点30分登陆越南庆和芽庄附近沿海,热带风暴
201331,Podul,杨柳,越南芽庄,2013-11-15 05:30:00,109.3,12.3,“杨柳”5点30分登陆越南庆和省芽庄市附近沿海,热带风暴
201407,Hagibis,海贝思,汕头,2014-06-15 16:50:00,23.25,116.7,“海贝思”15日16时50分前后在广东汕头沿海登陆,热带风暴
201408,Neoguri,浣熊,阿久根市,2014-07-10 06:00:00,32.2,129.9,台风“浣熊”（强热带风暴级）于10日早晨6点登陆日本阿久根。,强热带风暴
201409,Rammasun,威马逊,海南文昌,2014-04-18 15:30:00,111.0,19.9,“威马逊”18日15时30分在海南省文昌市翁田镇沿海登陆,强台风
201409,Rammasun,威马逊,菲律宾中部,2014-07-15 18:20:00,124.2,13.2,“威马逊”15日18时20分在菲律宾中部沿海登陆,强台风
201409,Rammasun,威马逊,海南文昌,2014-07-18 15:30:00,111.0,19.9,“威马逊”18日15时30分在海南省文昌市翁田镇沿海登陆,强台风
201409,Rammasun,威马逊,徐闻,2014-07-18 19:30:00,110.5,20.2,“威马逊”18日19时30分前后在广东省徐闻县龙塘镇沿海再次,强台风
201409,Rammasun,威马逊,防城港,2014-07-19 07:10:00,108.6,21.6,19日07时10分前后在广西防城港市光坡镇再次登陆,强台风
201410,Matmo,麦德姆,台东长滨乡,2014-07-23 00:15:00,121.46,23.35,台风“麦德姆”23日0时15分在台湾台东县长滨乡沿海登陆。,强台风
201410,Matmo,麦德姆,福清市,2014-07-23 15:30:00,119.45,25.43,23日15时30分前后在福建省福清市高山镇沿海登陆,强热带风暴
201410,Matmo,麦德姆,山东荣成,2014-07-25 17:10:00,122.1,36.9,25日17时10分在山东省荣成市虎山镇沿海登陆,热带风暴
201415,Kalmaegi,海鸥,菲律宾,2014-09-14 19:00:00,121.8,17.8,“海鸥”14日19时前后在菲律宾吕宋岛东北部登陆,台风
201415,Kalmaegi,海鸥,海南文昌,2014-09-16 09:40:00,111.3,19.8,“海鸥”16日9时40分前后在海南省文昌市翁田镇登陆。,台风
201415,Kalmaegi,海鸥,徐闻沿海,2014-09-16 12:45:00,110.1,20.3,9月16日12时45分前后，在广东徐闻南部沿海再次登陆。,台风
201415,Kalmaegi,海鸥,越南广宁,2014-09-16 23:00:00,107.6,21.3,“海鸥”16日23时前后在越南北部广宁省沿海登陆,台风
201416,Fung-wong,凤凰,台湾,2014-09-21 10:00:00,120.8,22.0,“凤凰”21日10时在台湾省恒春半岛南部沿海登陆,强热带风暴
201416,Fung-wong,凤凰,台湾,2014-09-21 22:20:00,121.93,24.97,21日22时20分在台湾省宜兰县与新北市交界附近沿海登陆,强热带风暴
201416,Fung-wong,凤凰,浙江象山,2014-09-22 19:35:00,121.9,28.7,“凤凰”22日19时35分在浙江象山县鹤浦镇沿海登陆。,强热带风暴
201416,Fung-wong,凤凰,上海,2014-09-23 10:45:00,121.7,30.7,23日10时45分前后登陆上海市奉贤区海湾镇沿海,热带风暴
201418,Phanfone,巴蓬,日本滨松,2014-10-06 07:00:00,138.3,35.0,台风“巴蓬”6日07时登陆日本静冈县滨松市沿海,台风
201419,Vongfong,黄蜂,日本九州岛枕崎市,2014-10-13 07:30:00,130.4,31.3,“黄蜂”已于10月13日7时30分前后在日本九州岛枕崎市登陆,强热带风暴
201422,Hagupit,黑格比,萨马岛,2014-12-07 02:10:00,125.2,11.9,“黑格比”7日凌晨2点10分前后在菲律宾萨马岛东部沿海登陆。,强台风
201501,Mekkhala,米克拉,菲律宾萨马岛东部沿海,2015-01-17 16:00:00,125.4,12.2,台风“米克拉”17日下午4点钟前后在菲律宾萨马岛东部沿海登陆,台风
201506,Noul,红霞,菲律宾吕宋岛东北部沿海,2015-05-10 16:50:00,122.3,18.3,台风“红霞”10日下午4点50分前后在菲律宾吕宋岛东北部沿海登陆,超强台风
201508,Kujira,鲸鱼,海南万宁,2015-06-22 18:50:00,110.5,18.9,台风“鲸鱼”22日18时50分前后登陆海南省万宁市沿海,强热带风暴
201508,Kujira,鲸鱼,越南海防市,2015-06-24 11:40:00,106.8,20.7,台风“鲸鱼”于24日11时40分在越南北部海防市沿海再次登陆,热带风暴
201509,Chan-hom,灿鸿,朱家尖镇,2015-07-11 16:40:00,122.39,29.83,“灿鸿”11日16时40分前后登陆浙江舟山市朱家尖镇,强台风
201509,Chan-hom,灿鸿,朝鲜黄海南道沿海,2015-07-12 23:50:00,38.0,125.3,7月12日23时50分前后在朝鲜黄海南道沿海再次登陆,热带风暴
201510,Linfa,莲花,菲律宾吕宋岛东北部,2015-07-05 04:00:00,122.1,17.6,台风“莲花”5日早晨4时左右在菲律宾吕宋岛东北部沿海登陆,强热带风暴
201510,Linfa,莲花,广东陆丰,2015-07-09 12:15:00,116.2,22.8,台风“莲花”9日12时15分前后登陆广东省陆丰市沿海,台风
201511,Nangka,浪卡,日本四国岛高知县东南沿海,2015-07-16 21:50:00,133.7,34.7,“浪卡”16日21点50分前后在日本四国岛高知县东南沿海登陆,台风
201513,Soudelor,苏迪罗,台湾花莲,2015-08-08 04:40:00,121.5,24.2,“苏迪罗”于8日凌晨4点40分前后登陆台湾省花莲县秀林乡沿海,强台风
201513,Soudelor,苏迪罗,莆田市秀屿区沿海,2015-08-08 22:10:00,119.16,25.1,于22点10分前后在莆田市秀屿区沿海登陆,台风
201515,Goni,天鹅,日本九州岛西部沿海,2015-08-25 02:40:00,130.0,31.6,“天鹅”8月25日凌晨2点40分前后在日本九州岛西部沿海,强台风
201515,Goni,天鹅,俄罗斯海参崴附近沿海,2015-08-27 03:00:00,132.6,42.8,凌晨3点钟前后在俄罗斯海参崴附近沿海登陆,热带风暴
201518,ETAU,艾涛,知多半岛沿海,2015-09-09 08:50:00,136.9,34.7,“艾涛”于9月9日8点50分在日本爱知县知多半岛沿海登陆,强热带风暴
201519,Vamco,环高,越南广南省,2015-09-14 21:50:00,108.5,15.6,“环高”于14日21时50分在越南广南省登陆,热带风暴
201521,Dujuan,杜鹃,台湾宜兰,2015-09-28 17:50:00,121.7,24.3,“杜鹃”于17时50分前后在台湾省宜兰沿海登陆,强台风
201521,Dujuan,杜鹃,福建省莆田市秀屿区沿海,2015-09-29 08:50:00,119.08,25.1,“杜鹃”于29日上午8点50分前后在福建省莆田市秀屿区沿海再次登陆,台风
201522,Mujigae,彩虹,广东湛江坡头区沿海,2014-10-04 14:10:00,111.0,20.9,强台风级“彩虹”于4日140分前后在广东省湛江市坡头区登陆,强台风
201523,Choi-wan,彩云,广东湛江坡头区沿海,2015-10-04 14:10:00,111.0,20.9,强台风级“彩虹”于4日140分前后在广东省湛江市坡头区登陆,强台风
201524,Koppu,巨爵,菲律宾吕宋岛,2015-10-18 03:00:00,121.93,16.1,台风 “巨爵”18日凌晨3点钟左右登陆菲律宾吕宋岛,超强台风
201527,MELOR,茉莉,菲律宾吕宋岛,2015-12-14 16:30:00,124.1,12.7,台风“茉莉”下午4点30分前后在菲律宾吕宋岛南部登陆,强台风
201601,Nepartak,尼伯特,台湾台东县太麻里乡,2016-07-08 05:50:00,120.97,22.5,台风“尼伯特”8日5时50分前后在台湾省台东县太麻里乡登陆,超强台风
201601,Nepartak,尼伯特,福建泉州石狮市,2016-07-09 13:45:00,118.7,24.7,台风“尼伯特”7月9日13时45分在福建泉州石狮市再次登陆。,强热带风暴
201603,Mirinae,银河,海南省万宁市东澳镇,2016-07-26 22:20:00,110.4,18.7,台风“银河”26日22时20分在海南省万宁市东澳镇登陆,强热带风暴
201603,Mirinae,银河,越南南定省,2016-07-28 00:20:00,106.29,20.15,“银河”于28日凌晨00点20分在越南南定省登陆,强热带风暴
201604,NIDA,妮妲,广东深圳,2016-08-02 03:35:00,114.61,22.5,台风“妮妲”2日3时35分以强台风级在广东深圳大鹏半岛登陆,强台风
201607,CHANTHU,灿都,日本北海道,2016-08-17 16:30:00,143.4,42.6,7号台风“灿都”于8月17日16时30分前后登陆日本北海道。,热带风暴
201608,DIANMU,电母,广东湛江雷州东里镇,2016-08-18 15:40:00,110.41,20.65,8月18日15时40分，“电母”登陆广东湛江东里镇沿海,热带风暴
201609,MINDULLE,蒲公英,日本千叶县附近沿海,2016-08-22 11:30:00,140.05,35.37,台风“蒲公英”8月22日上午11时30分登陆日本千叶县附近,强热带风暴
201612,NAMTHEUN,南川,日本九州岛长崎市长崎县,2016-09-05 00:00:00,129.7,32.8,台风“南川”5日凌晨0时前后在日本九州岛长崎市长崎县附近沿海登陆,热带风暴
201614,MERANTI,莫兰蒂,福建厦门翔安区,2016-09-15 03:05:00,118.3,24.5,"台风""莫兰蒂""15日3时5分登陆福建厦门翔安区",强台风
201616,MALAKAS,马勒卡,日本九州岛鹿儿岛县,2016-09-19 23:00:00,130.69,31.1,"台风“马勒卡”19日2
3时前后在日本九州岛鹿
台风“马勒卡”19日23时前后在日本九州岛鹿儿岛县大隅半岛沿海登陆",强台风
201617,MEGI,鲇鱼,台湾花莲沿海,2016-09-27 14:10:00,121.6,24.0,台风“鲇鱼”9月27日14时10分前后在台湾省花莲沿海登陆,强台风
201617,MEGI,鲇鱼,泉州市惠安县,2016-09-28 04:40:00,118.9,25.0,台风“鲇鱼”9月28日4时40分前后以台风级登陆泉州市惠安县沿海,台风
201621,SARIKA,莎莉嘉,菲律宾吕宋岛东部沿海,2016-10-16 02:20:00,121.59,15.79,台风“莎莉嘉”10月16日2时20分前后在菲律宾吕宋岛东部沿海登陆,超强台风
201621,SARIKA,莎莉嘉,海南省万宁市和东镇沿海,2016-10-18 09:50:00,110.4,18.8,台风“莎莉嘉”10月18日上午9点50分前后在海南省万宁市和东镇沿海登陆,强台风
201621,SARIKA,莎莉嘉,广西防城港东兴市沿海,2016-10-19 14:10:00,108.18,21.52,台风“莎莉嘉”10月19日14点10分前后在广西防城港东兴市沿海登陆,强热带风暴
201622,HAIMA,海马,菲律宾吕宋岛东北部,2016-10-19 23:40:00,122.1,17.6,台风“海马”10月19日23时40分前后登陆菲律宾吕宋岛东北部,强台风
201622,HAIMA,海马,广东汕尾鮜门镇沿海,2016-10-21 12:40:00,115.3,22.8,台风“海马”10月21日12时40分前后登陆广东汕尾鮜门镇沿海,强台风
201702,MERBOK,苗柏,广东深圳大鹏半岛,2017-06-12 23:00:00,114.5,22.5,台风“苗柏”6月12日23时前后在广东深圳大鹏半岛登陆,热带风暴
201703,NANMADOL,南玛都,日本长崎半岛西部沿海,2017-07-04 07:40:00,129.86,32.71,台风南玛都7月4日上午7时40分前后登陆日本长崎半岛西部沿海,强热带风暴
201704,TALAS,塔拉斯,越南义安沿海,2017-07-17 02:00:00,105.01,18.5,台风“拉塔斯”7月17日以强热带风暴级登陆越南义安沿海,强热带风暴
201705,NORU,奥鹿,日本四国岛室户市沿海,2017-08-07 09:00:00,134.04,33.37,台风“奥鹿”于8月7日9时左右在日本四国岛室户市沿海登陆,台风
201705,NORU,奥鹿,日本,2017-08-07 16:00:00,135.0,34.0,台风“奥鹿”于8月7日下午在日本再次登陆,强热带风暴
201707,ROKE,洛克,香港东北部沿海,2017-07-23 09:50:00,114.4,22.4,台风“洛克”已于7月23日9点50分在香港东北部沿海登陆,热带风暴
201708,SONCA,桑卡,越南广平省,2017-07-25 16:30:00,107.1,17.1,台风“桑卡”7月25日16时30分在越南广平省登陆,热带风暴
201709,NESAT,纳沙,台湾宜兰,2017-07-29 19:40:00,121.81,24.69,台风“纳沙”29日19时40分前后在台湾省宜兰登陆,台风
